Nr;Datum;Zeit;Heim;Gast;Tore;Punkte
292;22.04.15;19:00;HSV Handball;TSV GWD Minden;28:25;2:0
341;22.04.15;19:00;TuS N-Luebbecke;HBW Balingen-Weilstetten;30:33;0:2
291;22.04.15;20:15;THW Kiel;FRISCH AUF! Goeppingen;28:21;2:0
308;08.05.15;19:45;TSV GWD Minden;MT Melsungen;25:25;1:1
342;08.05.15;19:45;HSG Wetzlar;HBW Balingen-Weilstetten;25:20;2:0
310;13.05.15;20:15;HBW Balingen-Weilstetten;SC Magdeburg;25:32;0:2
294;13.05.15;20:15;MT Melsungen;HC Erlangen;37:23;2:0
306;15.05.15;20:15;VfL Gummersbach;THW Kiel;26:32;0:2
309;16.05.15;19:00;HC Erlangen;TSG Lu-Friesenheim;37:26;2:0
302;16.05.15;19:00;SG Flensburg-Handewitt;TBV Lemgo;24:24;1:1
307;16.05.15;20:15;FRISCH AUF! Goeppingen;TuS N-Luebbecke;27:19;2:0
303;17.05.15;17:15;TSV Hannover-Burgdorf;HSG Wetzlar;28:26;2:0
304;20.05.15;19:00;SC Magdeburg;SG BBM Bietigheim;37:25;2:0
305;20.05.15;20:15;Bergischer HC;HSV Handball;35:30;2:0
311;20.05.15;20:15;THW Kiel;TSV GWD Minden;24:23;2:0
330;20.05.15;20:15;Rhein-Neckar Loewen;HBW Balingen-Weilstetten;36:25;2:0
316;22.05.15;19:45;HSG Wetzlar;VfL Gummersbach;29:30;0:2
317;23.05.15;19:00;TBV Lemgo;TSV Hannover-Burgdorf;27:23;2:0
314;23.05.15;19:00;MT Melsungen;FRISCH AUF! Goeppingen;27:32;0:2
315;23.05.15;19:00;TuS N-Luebbecke;Rhein-Neckar Loewen;25:27;0:2
312;24.05.15;15:00;HSV Handball;SG Flensburg-Handewitt;20:24;0:2
313;24.05.15;16:45;Fuechse Berlin;SC Magdeburg;32:27;2:0
318;24.05.15;17:15;SG BBM Bietigheim;HC Erlangen;24:26;0:2
301;26.05.15;20:15;Rhein-Neckar Loewen;Fuechse Berlin;34:21;2:0
319;27.05.15;19:00;TSG Lu-Friesenheim;Bergischer HC;30:29;2:0
320;27.05.15;20:15;HBW Balingen-Weilstetten;MT Melsungen;28:23;2:0
325;29.05.15;19:45;VfL Gummersbach;TuS N-Luebbecke;29:27;2:0
328;29.05.15;19:45;TSV GWD Minden;SC Magdeburg;35:26;2:0
329;29.05.15;19:45;HC Erlangen;Fuechse Berlin;28:28;1:1
324;30.05.15;15:00;Bergischer HC;MT Melsungen;28:29;0:2
322;30.05.15;19:00;SG Flensburg-Handewitt;HSG Wetzlar;27:21;2:0
327;30.05.15;20:15;FRISCH AUF! Goeppingen;SG BBM Bietigheim;27:17;2:0
326;31.05.15;17:15;TBV Lemgo;HSV Handball;45:26;2:0
